time,Open,High,Low,Close,Volume
2022-11-21 16:00:00,242.01,244.61,242.01,243.26,4623
2022-11-21 17:00:00,243.26,243.56,241.2,241.88,7941
2022-11-21 18:00:00,241.88,243.03,241.61,242.28,8511
2022-11-21 19:00:00,242.28,242.6,241.32,241.52,8280
2022-11-21 20:00:00,241.51,243.1,241.48,242.57,7040
2022-11-21 21:00:00,242.57,242.9,242.07,242.31,6360
2022-11-21 22:00:00,242.29,242.86,242.0,242.12,6886
2022-11-22 16:00:00,243.18,243.49,240.66,241.4,3628
2022-11-22 17:00:00,241.35,243.14,241.27,243.09,6755
2022-11-22 18:00:00,243.09,243.12,242.08,242.51,7584
2022-11-22 19:00:00,242.5,243.27,242.48,242.88,5456
2022-11-22 20:00:00,242.88,244.19,242.61,244.15,4126
2022-11-22 21:00:00,244.15,244.42,243.54,244.03,4266
2022-11-22 22:00:00,244.02,245.23,244.01,245.12,4777
2022-11-23 16:00:00,244.34,246.74,244.24,246.37,4265
2022-11-23 17:00:00,246.42,247.61,245.94,247.39,8879
2022-11-23 18:00:00,247.39,247.7,245.03,245.59,6775
2022-11-23 19:00:00,245.56,246.39,244.99,245.31,4659
2022-11-23 20:00:00,245.32,247.06,245.14,246.6,3939
2022-11-23 21:00:00,246.61,248.19,245.99,247.7,6405
2022-11-23 22:00:00,247.7,248.24,247.1,247.37,4309
2022-11-25 16:00:00,248.07,248.66,247.06,247.83,4306
2022-11-25 17:00:00,247.82,248.13,247.37,247.96,5162
2022-11-25 18:00:00,247.95,248.17,246.73,247.48,4002
2022-11-25 19:00:00,247.47,248.01,247.13,247.46,3542
2022-11-25 20:00:00,247.49,247.49,247.49,247.49,1
2022-11-28 16:00:00,246.54,246.54,244.64,244.89,3712
2022-11-28 17:00:00,244.86,245.18,242.63,242.98,8029
2022-11-28 18:00:00,242.98,243.31,242.31,243.09,7084
2022-11-28 19:00:00,243.1,243.65,241.94,242.01,7933
2022-11-28 20:00:00,242.02,242.54,241.44,241.57,4485
2022-11-28 21:00:00,241.56,241.72,240.79,241.58,4317
2022-11-28 22:00:00,241.6,242.18,240.79,241.97,4620
2022-11-29 16:00:00,241.42,242.74,240.3,240.55,5816
2022-11-29 17:00:00,240.62,241.45,240.09,240.63,9716
2022-11-29 18:00:00,240.62,240.73,238.19,239.65,10056
2022-11-29 19:00:00,239.65,240.37,239.41,240.11,6941
2022-11-29 20:00:00,240.11,240.22,238.99,240.07,6286
2022-11-29 21:00:00,240.05,240.89,239.59,240.01,6514
2022-11-29 22:00:00,240.01,240.63,239.42,240.38,7108
2022-11-30 16:00:00,239.84,243.91,239.8,243.42,4547
2022-11-30 17:00:00,243.49,243.77,240.91,241.03,6530
2022-11-30 18:00:00,241.04,242.21,240.54,242.02,5018
2022-11-30 19:00:00,242.02,242.46,241.21,241.85,4684
2022-11-30 20:00:00,241.82,245.49,241.34,244.87,5695
2022-11-30 21:00:00,246.83,250.66,246.83,250.5,9552
2022-11-30 22:00:00,250.48,254.79,250.14,254.6,7877
2022-12-01 16:00:00,253.64,256.03,253.17,254.75,3736
2022-12-01 17:00:00,254.71,255.58,250.87,253.94,5492
2022-12-01 18:00:00,253.95,254.06,252.59,253.17,5348
2022-12-01 19:00:00,253.17,254.36,252.3,254.24,4188
2022-12-01 20:00:00,254.24,255.05,253.6,254.39,3383
2022-12-01 21:00:00,254.41,255.93,254.05,255.81,4804
2022-12-01 22:00:00,255.82,256.08,254.63,254.76,5002
2022-12-02 16:00:00,250.68,251.45,249.75,250.66,6507
2022-12-02 17:00:00,250.66,252.76,250.09,251.58,9227
2022-12-02 18:00:00,251.57,253.77,250.85,252.79,7706
2022-12-02 19:00:00,252.78,253.94,252.35,252.96,5339
2022-12-02 20:00:00,252.96,253.77,252.25,253.44,4894
2022-12-02 21:00:00,253.44,254.47,252.92,254.38,5217
2022-12-02 22:00:00,254.38,256.03,253.8,255.04,7335
2022-12-05 16:00:00,252.55,253.79,252.08,252.56,5594
2022-12-05 17:00:00,252.4,252.84,250.99,252.74,9332
2022-12-05 18:00:00,252.73,253.35,250.4,250.87,6432
2022-12-05 19:00:00,250.81,250.97,249.15,249.16,5027
2022-12-05 20:00:00,249.16,249.9,248.72,248.72,5024
2022-12-05 21:00:00,248.7,249.14,248.03,248.74,5157
2022-12-05 22:00:00,248.72,250.45,248.45,250.37,6421
2022-12-06 16:00:00,251.02,251.82,248.19,248.22,3003
2022-12-06 17:00:00,248.12,248.25,246.37,247.1,5021
2022-12-06 18:00:00,247.07,247.26,246.19,246.42,4491
2022-12-06 19:00:00,246.39,246.73,245.15,245.33,3615
2022-12-06 20:00:00,245.33,245.64,244.36,245.25,3360
2022-12-06 21:00:00,245.25,245.31,243.94,244.4,3714
2022-12-06 22:00:00,244.42,245.91,243.74,245.07,5921
2022-12-07 16:00:00,244.25,245.6,242.68,242.89,4187
2022-12-07 17:00:00,242.89,245.86,242.14,245.62,9178
2022-12-07 18:00:00,245.61,246.11,243.25,244.1,7354
2022-12-07 19:00:00,244.1,245.09,243.52,244.99,5885
2022-12-07 20:00:00,244.99,245.92,244.6,244.7,5628
2022-12-07 21:00:00,244.68,245.18,244.04,244.23,5583
2022-12-07 22:00:00,244.22,244.86,243.75,244.35,6298
2022-12-08 16:00:00,244.55,245.96,243.04,245.88,5261
2022-12-08 17:00:00,245.9,247.27,245.65,246.9,10053
