time,Open,High,Low,Close,Volume
2022-11-21 16:30:00,149.96,150.1,148.44,148.93,2482
2022-11-21 16:45:00,148.92,149.77,148.81,149.64,2550
2022-11-21 17:00:00,149.65,149.94,148.73,148.73,1458
2022-11-21 17:15:00,148.74,148.94,148.2,148.35,1639
2022-11-21 17:30:00,148.33,148.5,148.0,148.09,1535
2022-11-21 17:45:00,148.06,148.18,147.77,148.05,1605
2022-11-21 18:00:00,148.04,148.59,147.85,148.5,1463
2022-11-21 18:15:00,148.49,148.72,148.27,148.34,1468
2022-11-21 18:30:00,148.33,148.47,148.14,148.2,1294
2022-11-21 18:45:00,148.21,148.38,147.74,148.06,1460
2022-11-21 19:00:00,148.06,148.33,147.93,147.94,1710
2022-11-21 19:15:00,147.93,148.08,147.69,147.76,1244
2022-11-21 19:30:00,147.75,148.33,147.75,148.22,1165
2022-11-21 19:45:00,148.23,148.34,147.86,147.96,1157
2022-11-21 20:00:00,147.94,148.56,147.9,148.39,1390
2022-11-21 20:15:00,148.4,148.63,148.37,148.54,1334
2022-11-21 20:30:00,148.55,149.01,148.41,148.91,1169
2022-11-21 20:45:00,148.9,148.96,148.48,148.48,798
2022-11-21 21:00:00,148.49,148.74,148.35,148.56,1011
2022-11-21 21:15:00,148.55,148.72,148.26,148.33,1144
2022-11-21 21:30:00,148.33,148.49,148.21,148.3,1052
2022-11-21 21:45:00,148.3,148.58,148.27,148.38,1064
2022-11-21 22:00:00,148.38,148.57,148.28,148.39,1228
2022-11-21 22:15:00,148.39,148.56,148.06,148.18,1126
2022-11-21 22:30:00,148.18,148.42,147.91,148.03,1115
2022-11-21 22:45:00,148.04,148.31,147.87,148.07,1555
2022-11-22 16:30:00,148.32,148.52,147.01,147.13,2334
2022-11-22 16:45:00,147.12,147.67,146.91,147.5,2049
2022-11-22 17:00:00,147.49,148.46,147.39,148.44,2076
2022-11-22 17:15:00,148.45,148.49,147.94,148.23,1803
2022-11-22 17:30:00,148.24,148.42,147.97,148.3,1801
2022-11-22 17:45:00,148.31,148.81,148.23,148.7,1691
2022-11-22 18:00:00,148.69,148.83,148.46,148.61,1281
2022-11-22 18:15:00,148.61,148.96,148.36,148.93,1466
2022-11-22 18:30:00,148.94,148.95,148.49,148.71,1510
2022-11-22 18:45:00,148.7,148.95,148.57,148.84,1055
2022-11-22 19:00:00,148.84,149.28,148.83,149.17,1059
2022-11-22 19:15:00,149.18,149.43,149.14,149.22,947
2022-11-22 19:30:00,149.23,149.42,149.14,149.42,808
2022-11-22 19:45:00,149.41,149.5,149.09,149.18,820
2022-11-22 20:00:00,149.17,149.69,149.04,149.67,1248
2022-11-22 20:15:00,149.67,149.74,149.59,149.66,743
2022-11-22 20:30:00,149.67,149.83,149.62,149.74,861
2022-11-22 20:45:00,149.75,150.02,149.74,149.96,695
2022-11-22 21:00:00,149.95,150.03,149.45,149.49,811
2022-11-22 21:15:00,149.48,149.65,149.44,149.64,609
2022-11-22 21:30:00,149.64,149.82,149.49,149.56,728
2022-11-22 21:45:00,149.56,149.87,149.55,149.77,688
2022-11-22 22:00:00,149.77,149.99,149.73,149.92,608
2022-11-22 22:15:00,149.92,150.13,149.82,150.03,667
2022-11-22 22:30:00,150.02,150.18,149.98,149.99,754
2022-11-22 22:45:00,149.97,150.33,149.95,150.3,1170
2022-11-23 16:30:00,149.52,150.73,149.39,150.68,1974
2022-11-23 16:45:00,150.74,151.4,150.45,151.03,2144
2022-11-23 17:00:00,151.05,151.26,150.63,150.95,2051
2022-11-23 17:15:00,150.96,151.45,150.83,151.35,1400
2022-11-23 17:30:00,151.36,151.78,151.23,151.61,916
2022-11-23 17:45:00,151.62,151.7,151.35,151.57,742
2022-11-23 18:00:00,151.58,151.74,151.34,151.44,1065
2022-11-23 18:15:00,151.45,151.71,151.08,151.28,986
2022-11-23 18:30:00,151.28,151.28,150.86,151.1,1089
2022-11-23 18:45:00,151.11,151.11,149.78,150.08,1538
2022-11-23 19:00:00,150.08,150.32,149.96,150.24,1155
2022-11-23 19:15:00,150.24,150.41,150.14,150.17,1066
2022-11-23 19:30:00,150.18,150.27,149.93,149.95,1212
2022-11-23 19:45:00,149.94,150.08,149.33,149.62,1288
2022-11-23 20:00:00,149.63,149.79,149.51,149.66,941
2022-11-23 20:15:00,149.67,150.12,149.66,150.1,928
2022-11-23 20:30:00,150.11,150.44,150.11,150.42,800
2022-11-23 20:45:00,150.43,150.43,150.22,150.28,806
2022-11-23 21:00:00,150.28,151.28,149.74,150.83,2694
2022-11-23 21:15:00,150.82,151.21,150.68,151.02,1691
2022-11-23 21:30:00,151.03,151.04,150.52,150.83,1405
2022-11-23 21:45:00,150.83,151.11,150.77,150.97,1145
2022-11-23 22:00:00,150.97,151.18,150.72,151.16,1391
2022-11-23 22:15:00,151.16,151.4,151.07,151.15,1292
2022-11-23 22:30:00,151.15,151.16,150.83,150.95,1049
2022-11-23 22:45:00,150.94,151.05,150.61,150.98,1606
2022-11-25 16:30:00,148.07,148.13,147.1,147.95,2512
2022-11-25 16:45:00,147.93,148.71,147.84,148.63,1764
2022-11-25 17:00:00,148.62,148.85,148.34,148.56,1294
2022-11-25 17:15:00,148.56,148.75,148.35,148.37,1094
2022-11-25 17:30:00,148.37,148.37,148.07,148.2,881
2022-11-25 17:45:00,148.24,148.24,147.94,148.14,669
2022-11-25 18:00:00,148.13,148.37,148.03,148.1,915
2022-11-25 18:15:00,148.09,148.2,147.74,147.81,851
2022-11-25 18:30:00,147.81,147.81,147.59,147.8,860
2022-11-25 18:45:00,147.81,148.36,147.78,148.28,657
2022-11-25 19:00:00,148.27,148.39,147.99,148.11,797
2022-11-25 19:15:00,148.11,148.21,147.85,148.16,655
2022-11-25 19:30:00,148.16,148.18,147.79,147.91,550
2022-11-25 19:45:00,147.91,148.18,147.86,148.07,888
2022-11-25 20:00:00,148.07,148.07,148.07,148.07,1
2022-11-28 16:30:00,144.93,146.55,144.87,146.47,2567
2022-11-28 16:45:00,146.47,146.61,145.85,145.94,2089
2022-11-28 17:00:00,145.95,146.16,145.4,145.65,1684
2022-11-28 17:15:00,145.66,145.66,144.81,145.12,1535
2022-11-28 17:30:00,145.11,145.55,145.07,145.41,1306
2022-11-28 17:45:00,145.4,145.54,144.92,144.99,1309
2022-11-28 18:00:00,144.99,145.4,144.76,145.37,1307
2022-11-28 18:15:00,145.36,145.46,144.99,145.06,979
2022-11-28 18:30:00,145.08,145.21,144.91,145.12,902
2022-11-28 18:45:00,145.1,145.29,145.04,145.14,832
2022-11-28 19:00:00,145.15,145.73,144.72,144.96,2286
2022-11-28 19:15:00,144.95,145.39,144.91,145.15,1468
2022-11-28 19:30:00,145.16,145.41,145.14,145.24,1225
2022-11-28 19:45:00,145.24,145.3,144.76,144.81,1091
2022-11-28 20:00:00,144.8,144.95,144.7,144.92,1038
2022-11-28 20:15:00,144.91,145.06,144.79,144.9,750
2022-11-28 20:30:00,144.88,144.93,144.66,144.66,706
2022-11-28 20:45:00,144.66,144.71,143.92,143.95,1041
2022-11-28 21:00:00,143.93,144.0,143.6,143.61,967
2022-11-28 21:15:00,143.62,143.76,143.37,143.53,834
2022-11-28 21:30:00,143.52,143.96,143.47,143.96,925
2022-11-28 21:45:00,143.96,144.07,143.81,143.92,755
2022-11-28 22:00:00,143.93,143.95,143.72,143.76,948
2022-11-28 22:15:00,143.76,143.99,143.63,143.79,634
2022-11-28 22:30:00,143.79,144.13,143.66,144.09,678
2022-11-28 22:45:00,144.1,144.44,143.93,144.38,938
2022-11-29 16:30:00,143.65,144.1,143.39,143.46,2769
2022-11-29 16:45:00,143.46,143.74,142.97,143.11,2242
2022-11-29 17:00:00,143.13,143.83,143.07,143.21,2345
2022-11-29 17:15:00,143.2,144.33,143.15,144.31,1802
2022-11-29 17:30:00,144.32,144.44,143.86,144.16,1365
2022-11-29 17:45:00,144.15,144.79,143.73,144.24,1734
2022-11-29 18:00:00,144.25,144.31,142.2,142.76,2400
2022-11-29 18:15:00,142.76,142.8,141.15,141.8,2225
2022-11-29 18:30:00,141.79,142.01,141.41,141.88,1441
2022-11-29 18:45:00,141.89,142.35,141.7,142.08,1385
2022-11-29 19:00:00,142.08,142.09,141.59,141.76,1216
2022-11-29 19:15:00,141.77,141.81,141.3,141.36,1308
2022-11-29 19:30:00,141.37,141.67,141.27,141.61,1224
2022-11-29 19:45:00,141.62,141.66,141.29,141.52,1092
2022-11-29 20:00:00,141.52,141.54,141.17,141.27,1103
2022-11-29 20:15:00,141.26,141.29,140.51,140.51,1181
2022-11-29 20:30:00,140.52,140.98,140.47,140.95,855
2022-11-29 20:45:00,140.96,141.16,140.91,141.13,684
2022-11-29 21:00:00,141.13,141.58,141.06,141.19,1027
2022-11-29 21:15:00,141.19,141.23,140.76,140.85,903
2022-11-29 21:30:00,140.86,140.89,140.51,140.54,954
2022-11-29 21:45:00,140.55,140.66,140.38,140.57,898
2022-11-29 22:00:00,140.57,140.83,140.53,140.8,929
2022-11-29 22:15:00,140.8,140.89,140.53,140.58,952
2022-11-29 22:30:00,140.59,140.94,140.34,140.84,1093
2022-11-29 22:45:00,140.83,141.32,140.64,141.19,1233
2022-11-30 16:30:00,140.76,142.15,140.56,141.99,2294
2022-11-30 16:45:00,141.99,142.33,141.53,141.93,1757
2022-11-30 17:00:00,141.97,142.12,141.26,141.64,1832
2022-11-30 17:15:00,141.65,141.81,141.32,141.48,1416
2022-11-30 17:30:00,141.52,141.88,141.3,141.47,1593
2022-11-30 17:45:00,141.45,141.46,140.97,141.15,1288
2022-11-30 18:00:00,141.17,141.77,141.05,141.74,1353
2022-11-30 18:15:00,141.74,141.88,141.57,141.77,1174
2022-11-30 18:30:00,141.78,141.99,141.55,141.74,1275
2022-11-30 18:45:00,141.74,141.86,141.51,141.55,959
2022-11-30 19:00:00,141.55,141.59,141.23,141.3,895
2022-11-30 19:15:00,141.26,141.26,140.74,140.9,1074
2022-11-30 19:30:00,140.9,141.05,140.68,140.97,1065
2022-11-30 19:45:00,140.96,141.29,140.91,141.24,896
2022-11-30 20:00:00,141.22,141.7,141.15,141.62,1092
2022-11-30 20:15:00,141.6,141.64,141.38,141.54,778
2022-11-30 20:30:00,141.55,143.66,141.11,143.24,3358
2022-11-30 20:45:00,143.24,143.55,142.5,143.32,908
2022-11-30 21:00:00,144.34,145.24,144.3,145.13,1730
2022-11-30 21:15:00,145.12,146.5,145.08,146.27,2777
2022-11-30 21:30:00,146.29,146.44,145.65,145.73,2100
2022-11-30 21:45:00,145.74,146.33,145.61,146.07,1773
2022-11-30 22:00:00,146.06,146.45,145.96,146.43,1448
2022-11-30 22:15:00,146.43,147.08,146.38,147.05,1398
