time,Open,High,Low,Close,Volume
2022-03-23,42821.86,42838.36,41712.08,42364.03,87268
2022-03-24,42368.03,44223.53,42304.88,44016.42,92052
2022-03-25,44016.92,45114.7,43520.15,44532.14,97768
2022-03-28,45975.61,48211.21,45821.21,47939.18,105323
2022-03-29,48017.74,48133.24,46871.59,47451.68,90839
2022-03-30,47489.68,47700.05,46481.42,47267.49,84565
2022-03-31,47177.49,47603.64,45472.24,45722.77,106603
2022-04-01,45722.77,46718.42,44190.36,46117.43,116593
2022-04-04,46353.96,47426.23,45089.25,46291.63,133589
2022-04-05,46381.01,47181.13,45445.46,45843.46,97862
2022-04-06,45819.96,46036.79,43149.58,43846.01,145013
2022-04-07,43783.73,44001.76,42690.42,43548.89,132226
2022-04-08,43480.39,43971.6,42364.13,42785.76,141316
2022-04-11,43086.25,43177.54,39429.19,39800.61,186607
2022-04-12,39841.61,40686.95,39167.06,39482.31,143231
2022-04-13,39520.31,41543.72,39460.49,41205.23,120936
2022-04-14,41209.23,41485.51,39512.28,39882.34,158685
2022-04-15,39824.34,40813.97,39743.17,40364.98,64436
2022-04-18,40199.45,41000.21,38507.22,40651.31,107275
2022-04-19,40735.31,41752.76,40557.87,41254.67,90783
2022-04-20,41260.17,42208.89,40834.73,41403.54,89884
2022-04-21,41366.04,42973.71,40501.32,40573.14,118028
2022-04-22,40616.14,40821.4,39126.19,39559.56,122110
2022-04-25,39467.12,40368.36,38149.42,40156.94,143941
2022-04-26,40086.44,40782.86,37652.35,38086.61,139771
2022-04-27,38003.23,39446.52,37656.36,39067.21,116945
2022-04-28,39103.79,40370.0,38847.11,39815.63,131957
2022-04-29,39873.13,39969.51,38135.23,38550.76,144494
2022-05-02,38361.06,39145.21,38018.07,38283.01,177791
2022-05-03,38266.48,38891.42,37475.86,37738.45,130365
2022-05-04,37695.95,40008.0,37588.04,39769.1,146514
2022-05-05,39771.64,39861.98,35560.0,36401.33,143197
2022-05-06,36380.91,36638.38,35207.31,36063.1,194171
2022-05-09,34218.16,34436.86,30280.0,30913.49,231778
2022-05-10,30915.49,32619.76,29692.29,30962.73,250590
2022-05-11,30957.91,32128.83,28084.81,28354.31,302836
2022-05-12,28728.39,30050.09,25228.46,28495.69,341940
2022-05-13,28377.49,30964.06,27903.59,29723.16,238263
2022-05-16,31012.8,31376.13,29010.7,29867.2,168458
2022-05-17,29976.17,30730.75,29364.07,30040.56,145538
2022-05-18,30126.86,30661.08,28675.87,29176.58,163311
2022-05-19,29159.58,30491.53,28578.56,30207.19,153223
2022-05-20,30164.5,30709.5,28674.11,29107.65,164840
2022-05-23,29861.89,30620.87,28984.33,29275.14,158844
2022-05-24,29233.14,29583.25,28594.19,29403.44,146830
2022-05-25,29392.95,30175.76,29275.25,29733.45,135519
2022-05-26,29724.95,29830.88,27938.39,29399.69,156421
2022-05-27,29447.96,29642.45,28220.68,28736.76,157644
2022-05-30,29101.12,31370.71,29101.12,31221.33,100322
2022-05-31,31221.33,32354.43,31176.83,31772.52,130473
2022-06-01,31728.02,31941.47,29245.64,29590.6,142221
2022-06-02,29666.1,30360.57,29462.61,30186.59,122362
2022-06-03,30206.67,30657.26,29200.76,29637.26,126716
2022-06-06,29843.99,31717.26,29762.28,31412.29,130505
2022-06-07,31427.78,31544.58,29138.51,31290.43,175315
2022-06-08,31302.43,31489.57,29797.96,30140.29,166847
2022-06-09,30296.12,30663.0,29888.3,30125.47,123203
