time,Open,High,Low,Close,Volume
2022-11-21 16:30:00,175.74,176.73,173.21,174.74,2236
2022-11-21 16:45:00,174.67,176.58,173.83,174.02,1780
2022-11-21 17:00:00,174.02,174.22,173.38,173.6,1510
2022-11-21 17:15:00,173.64,174.22,172.99,172.99,1290
2022-11-21 17:30:00,172.99,173.25,171.1,171.18,1532
2022-11-21 17:45:00,171.19,171.19,170.0,171.0,1732
2022-11-21 18:00:00,171.01,171.5,170.39,171.26,1381
2022-11-21 18:15:00,171.26,172.37,171.08,171.95,1361
2022-11-21 18:30:00,171.94,172.0,170.69,170.84,1144
2022-11-21 18:45:00,170.82,171.21,170.3,170.49,1140
2022-11-21 19:00:00,170.5,171.05,170.08,170.41,1320
2022-11-21 19:15:00,170.4,170.64,168.5,168.73,1352
2022-11-21 19:30:00,168.73,169.96,168.65,169.92,1231
2022-11-21 19:45:00,169.92,169.96,168.8,168.87,1084
2022-11-21 20:00:00,168.87,170.33,168.84,170.05,1190
2022-11-21 20:15:00,170.11,170.23,169.44,169.79,1050
2022-11-21 20:30:00,169.79,170.26,169.41,169.91,1089
2022-11-21 20:45:00,169.92,170.01,168.85,168.87,986
2022-11-21 21:00:00,168.87,169.48,168.83,169.1,947
2022-11-21 21:15:00,169.16,169.43,168.02,168.11,1079
2022-11-21 21:30:00,168.11,168.26,167.49,168.02,1082
2022-11-21 21:45:00,168.0,168.98,167.91,168.43,1251
2022-11-21 22:00:00,168.4,169.19,168.21,168.51,1166
2022-11-21 22:15:00,168.51,168.87,167.84,168.03,997
2022-11-21 22:30:00,168.04,168.31,167.57,167.98,1271
2022-11-21 22:45:00,167.95,168.69,167.76,167.83,1258
2022-11-22 16:30:00,168.08,170.72,166.26,167.23,2265
2022-11-22 16:45:00,167.23,168.86,166.14,166.74,1695
2022-11-22 17:00:00,166.76,170.85,166.49,170.36,1971
2022-11-22 17:15:00,170.36,170.52,168.74,168.83,1317
2022-11-22 17:30:00,168.79,169.58,167.49,168.43,1506
2022-11-22 17:45:00,168.4,170.01,168.24,169.55,1424
2022-11-22 18:00:00,169.53,169.93,168.0,168.16,1071
2022-11-22 18:15:00,168.16,169.1,167.99,168.76,994
2022-11-22 18:30:00,168.79,168.89,167.74,168.25,977
2022-11-22 18:45:00,168.25,168.84,167.6,168.53,911
