time,Open,High,Low,Close,Volume
2025-03-21 19:41:00,385.57,385.57,385.46,385.46,18
2025-03-21 19:42:00,385.46,385.68,385.46,385.67,24
2025-03-21 19:43:00,385.7,386.04,385.68,386.04,36
2025-03-21 19:44:00,386.02,386.04,385.94,385.96,31
2025-03-21 19:45:00,385.96,386.15,385.96,386.02,21
2025-03-21 19:46:00,386.03,386.23,386.03,386.1,19
2025-03-21 19:47:00,386.1,386.16,385.93,386.03,34
2025-03-21 19:48:00,386.07,386.16,386.04,386.12,24
2025-03-21 19:49:00,386.19,386.35,386.12,386.31,28
2025-03-21 19:50:00,386.32,386.61,386.32,386.42,49
2025-03-21 19:51:00,386.41,386.55,386.4,386.5,39
2025-03-21 19:52:00,386.48,386.65,386.44,386.54,46
2025-03-21 19:53:00,386.54,386.55,386.41,386.46,25
2025-03-21 19:54:00,386.43,386.43,386.19,386.41,42
2025-03-21 19:55:00,386.43,386.44,386.29,386.33,21
2025-03-21 19:56:00,386.26,386.28,386.07,386.08,22
2025-03-21 19:57:00,386.01,386.08,385.89,385.89,38
2025-03-21 19:58:00,385.95,385.95,385.77,385.82,30
2025-03-21 19:59:00,385.86,385.95,385.75,385.84,22
2025-03-21 20:00:00,385.86,386.03,385.81,385.95,28
2025-03-21 20:01:00,386.0,386.08,385.87,386.03,31
2025-03-21 20:02:00,386.03,386.03,385.88,385.9,25
2025-03-21 20:03:00,385.88,386.04,385.88,385.99,36
2025-03-21 20:04:00,386.0,386.08,386.0,386.04,22
2025-03-21 20:05:00,385.98,386.01,385.75,385.81,34
2025-03-21 20:06:00,385.79,385.85,385.65,385.67,33
2025-03-21 20:07:00,385.72,385.84,385.65,385.81,19
2025-03-21 20:08:00,385.81,385.81,385.55,385.79,46
2025-03-21 20:09:00,385.83,385.98,385.75,385.98,40
2025-03-21 20:10:00,385.92,385.93,385.77,385.81,37
2025-03-21 20:11:00,385.78,385.82,385.64,385.64,20
2025-03-21 20:12:00,385.64,385.83,385.64,385.8,33
2025-03-21 20:13:00,385.82,385.82,385.52,385.52,26
2025-03-21 20:14:00,385.52,385.69,385.35,385.65,51
2025-03-21 20:15:00,385.61,385.71,385.49,385.49,27
2025-03-21 20:16:00,385.51,385.57,385.27,385.34,35
2025-03-21 20:17:00,385.34,385.8,385.34,385.77,70
2025-03-21 20:18:00,385.82,385.89,385.71,385.86,25
2025-03-21 20:19:00,385.79,385.95,385.72,385.74,32
2025-03-21 20:20:00,385.66,385.75,385.56,385.59,33
2025-03-21 20:21:00,385.65,385.73,385.55,385.69,33
